id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-772930,2019-07-02,000001,Vente,118650,15,,AV DU BEL AIR,0671,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AI0035,,,16,30.13,,,,,,,,,1,2,Appartement,30,2,,,,,,2.497719,48.806106
2019-772932,2019-07-01,000001,Vente,575000,24,,AV DE VERDUN,9630,94210,94068,Saint-Maur-des-Fossés,94,,,94068000BC0055,,,,,,,,,,,,,0,1,Maison,93,5,S,sols,,,230,2.513734,48.801821
2019-772933,2019-07-02,000001,Vente,369000,20,,AV DU MESNIL,6234,94210,94068,Saint-Maur-des-Fossés,94,,,94068000BM0081,,,3,63.2,42,,,,,,,,2,2,Appartement,65,3,,,,,,2.514868,48.795102
2019-772933,2019-07-02,000001,Vente,369000,20,,AV DU MESNIL,6234,94210,94068,Saint-Maur-des-Fossés,94,,,94068000BM0081,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.514868,48.795102
2019-772934,2019-07-01,000001,Vente,192000,5,A,RUE DES ILES,4650,94100,94068,Saint-Maur-des-Fossés,94,,,940680000A0113,,,24,,33,46.15,,,,,,,2,2,Appartement,47,2,,,,,,2.463164,48.809347
2019-772941,2019-07-02,000001,Vente,320000,189,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0063,,,10,,2,74,,,,,,,2,2,Appartement,80,4,,,,,,2.501218,48.798073
2019-772943,2019-07-01,000001,Vente,213500,33,B,RUE DU PONT DE CRETEIL,7249,94100,94068,Saint-Maur-des-Fossés,94,,,940680000K0046,,,12,,,,,,,,,,1,2,Appartement,17,1,,,,,,2.471737,48.807507
2019-772943,2019-07-01,000001,Vente,213500,33,B,RUE DU PONT DE CRETEIL,7249,94100,94068,Saint-Maur-des-Fossés,94,,,940680000K0046,,,5,61.21,,,,,,,,,1,2,Appartement,63,3,,,,,,2.471737,48.807507
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,154,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,147,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,155,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,148,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,163,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772944,2019-07-02,000001,Vente,142000,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,160,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-772945,2019-07-02,000001,Vente,126500,4,,AV DES ARTS,0170,94100,94068,Saint-Maur-des-Fossés,94,,,940680000Z0017,,,5,18.23,,,,,,,,,1,2,Appartement,16,1,,,,,,2.48795,48.804594
2019-772946,2019-07-01,000001,Vente,517500,7,,RUE DE LA CONCORDE,1630,94210,94068,Saint-Maur-des-Fossés,94,,,94068000EN0057,,,,,,,,,,,,,0,1,Maison,75,3,S,sols,,,141,2.501464,48.79075
2019-772947,2019-07-01,000001,Vente en l'état futur d'achèvement,418000,21,,RUE ANDRE BOLLIER,0117,94100,94068,Saint-Maur-des-Fossés,94,,,940680000N0145,,,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.475261,48.803952
