date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-01-06,Vente,895000,26,,AV DES ERABLES,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,0,1,Maison,92,3,S,sols,,,374,2.497636,48.80343
2020-01-02,Vente,590000,8,B,RUE DESIRE,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,0,1,Maison,80,4,S,sols,,,199,2.491115,48.794748
2020-01-02,Vente,590000,8,B,RUE DESIRE,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,11,0,S,sols,,,199,2.491115,48.794748
2020-01-07,Vente,202500,16,B,AV ALBERT 1ER,94210,Saint-Maur-des-Fossés,94,3,41.64,,,,,,,,1,2,Appartement,41,3,,,,,,2.508381,48.788811
2020-01-06,Vente,1400000,13,,AV DES ARTS,94100,Saint-Maur-des-Fossés,94,1,304.8,,,,,,,,1,1,Maison,300,9,,,,,,2.490385,48.804162
2020-01-08,Vente,225000,27,,RUE DU DOCTEUR ROUX,94100,Saint-Maur-des-Fossés,94,13,46.43,8,,,,,,,2,2,Appartement,45,2,,,,,,2.491636,48.791812
2020-01-08,Vente,225000,27,,RUE DU DOCTEUR ROUX,94100,Saint-Maur-des-Fossés,94,40,,,,,,,,,1,3,Dépendance,,0,,,,,,2.491636,48.791812
2020-01-09,Vente,276000,71,,QUAI DE BONNEUIL,94210,Saint-Maur-des-Fossés,94,26,,,,,,,,,1,3,Dépendance,,0,,,,,,2.494333,48.785114
2020-01-09,Vente,276000,71,,QUAI DE BONNEUIL,94210,Saint-Maur-des-Fossés,94,10,57.97,20,,,,,,,2,2,Appartement,57,3,,,,,,2.494333,48.785114
2020-01-08,Vente,360976,36,,AV FUSILLES DE CHATEAUBRIANT,94100,Saint-Maur-des-Fossés,94,29,59.44,36,,,,,,,2,2,Appartement,60,3,,,,,,2.497543,48.803883
