date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-01-04,Vente,230000,9,,AV DESGENETTES,94100,Saint-Maur-des-Fossés,94,11,,15,40.74,,,,,,,2,2,Appartement,40,2,,,,,,2.472405,48.807472
2022-01-04,Vente,230000,9,,AV DESGENETTES,94100,Saint-Maur-des-Fossés,94,11,,15,40.74,,,,,,,2,3,Dépendance,,0,,,,,,2.472405,48.807472
2022-01-03,Vente,687000,111,B,RUE ALBERT DE MUN,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,50,4,S,sols,,,200,2.490844,48.787027
2022-01-05,Vente,686000,50,,BD DE LA MARNE,94210,Saint-Maur-des-Fossés,94,75,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.502356,48.791652
2022-01-05,Vente,686000,50,,BD DE LA MARNE,94210,Saint-Maur-des-Fossés,94,62,132.01,,,,,,,,,1,2,Appartement,130,4,,,,,,2.502356,48.791652
2022-01-05,Vente,686000,50,,BD DE LA MARNE,94210,Saint-Maur-des-Fossés,94,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.502356,48.791652
2022-01-05,Vente,260000,39,,AV DE LA REPUBLIQUE,94100,Saint-Maur-des-Fossés,94,10,50.91,9,,,,,,,,2,4,Local industriel. commercial ou assimilé,49,0,,,,,,2.486319,48.800912
2022-01-05,Vente,973300,19,,RUE ALBERT DE MUN,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,588,2.483288,48.790143
2022-01-05,Vente,973300,19,,RUE ALBERT DE MUN,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,588,2.483288,48.790143
2022-01-05,Vente,973300,19,,RUE ALBERT DE MUN,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,84,4,S,sols,,,588,2.483288,48.790143
2022-01-07,Vente en l'état futur d'achèvement,580000,121,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,69,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.519428,48.791725
2022-01-07,Vente en l'état futur d'achèvement,580000,121,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,71,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.519428,48.791725
2022-01-07,Vente en l'état futur d'achèvement,580000,121,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,70,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.519428,48.791725
2022-01-07,Vente en l'état futur d'achèvement,580000,121,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.519428,48.791725
2022-01-07,Vente en l'état futur d'achèvement,580000,121,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,11,,,,,,,,,,1,2,Appartement,83,3,,,,,,2.519428,48.791725
2022-01-11,Vente,272000,124,,RUE GARIBALDI,94100,Saint-Maur-des-Fossés,94,55,55.35,56,,,,,,,,2,2,Appartement,63,2,,,,,,2.490109,48.791184
2022-01-10,Vente en l'état futur d'achèvement,410000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,7,,,,,,,,,,1,2,Appartement,60,3,,,,,,2.482586,48.798498
2022-01-10,Vente en l'état futur d'achèvement,410000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,47,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.482586,48.798498
2022-01-10,Vente en l'état futur d'achèvement,329000,16,,AV DE L ALMA,94210,Saint-Maur-des-Fossés,94,132,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.494906,48.787789
2022-01-10,Vente en l'état futur d'achèvement,329000,16,,AV DE L ALMA,94210,Saint-Maur-des-Fossés,94,104,,,,,,,,,,1,2,Appartement,52,2,,,,,,2.494906,48.787789
2022-01-10,Vente,153000,17,,BD MAURICE BERTEAUX,94100,Saint-Maur-des-Fossés,94,12,30.32,,,,,,,,,1,2,Appartement,30,1,,,,,,2.470901,48.810312
2022-01-07,Vente,586200,5,,AV ALEXIS PESSOT,94100,Saint-Maur-des-Fossés,94,10,97.26,33,,,,,,,,2,3,Dépendance,,0,,,,,,2.471025,48.811195
2022-01-07,Vente,586200,5,,AV ALEXIS PESSOT,94100,Saint-Maur-des-Fossés,94,10,97.26,33,,,,,,,,2,2,Appartement,95,4,,,,,,2.471025,48.811195
2022-01-06,Vente,362000,8,,RUE DU PETIT BEAUBOURG,94100,Saint-Maur-des-Fossés,94,132,,96,,,,,,,,2,3,Dépendance,,0,,,,,,2.473618,48.813636
2022-01-06,Vente,362000,8,,RUE DU PETIT BEAUBOURG,94100,Saint-Maur-des-Fossés,94,132,,96,,,,,,,,2,2,Appartement,64,4,,,,,,2.473618,48.813636
2022-01-11,Vente,465000,1,,RUE DES PECHEURS,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,244,2.472226,48.79687
2022-01-11,Vente,465000,1,,RUE DES PECHEURS,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,85,3,S,sols,,,244,2.472226,48.79687
2022-01-11,Vente,465000,1,,RUE DES PECHEURS,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,244,2.472226,48.79687
2022-01-07,Vente,202000,17,,AV AUGUSTE GROSS,94100,Saint-Maur-des-Fossés,94,1,,13,29.23,,,,,,,2,3,Dépendance,,0,,,,,,2.478935,48.81269
2022-01-07,Vente,202000,17,,AV AUGUSTE GROSS,94100,Saint-Maur-des-Fossés,94,1,,13,29.23,,,,,,,2,2,Appartement,29,2,,,,,,2.478935,48.81269
2022-01-10,Vente,325000,47,,AV HENRI MARTIN,94100,Saint-Maur-des-Fossés,94,9,52.32,,,,,,,,,1,3,Dépendance,,0,,,,,,2.488749,48.797292
2022-01-10,Vente,325000,47,,AV HENRI MARTIN,94100,Saint-Maur-des-Fossés,94,156,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.488749,48.797292
2022-01-10,Vente,325000,47,,AV HENRI MARTIN,94100,Saint-Maur-des-Fossés,94,9,52.32,,,,,,,,,1,2,Appartement,53,3,,,,,,2.488749,48.797292
2022-01-11,Vente,22000,31,B,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.476922,48.798592
2022-01-10,Vente,125000,17,,RUE DE LA MAISON BRULEE,94100,Saint-Maur-des-Fossés,94,51,24.65,,,,,,,,,1,4,Local industriel. commercial ou assimilé,27,0,,,,,,2.508892,48.807995
2022-01-04,Vente,1330000,2,B,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,160,7,S,sols,,,243,2.484628,48.804636
2022-01-04,Vente,1330000,2,B,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,243,2.484628,48.804636
2022-01-06,Vente,245000,24,,AV CARNOT,94100,Saint-Maur-des-Fossés,94,10,,30,34.85,,,,,,,2,3,Dépendance,,0,,,,,,2.487037,48.801883
2022-01-06,Vente,245000,24,,AV CARNOT,94100,Saint-Maur-des-Fossés,94,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.487037,48.801883
2022-01-06,Vente,245000,24,,AV CARNOT,94100,Saint-Maur-des-Fossés,94,10,,30,34.85,,,,,,,2,2,Appartement,34,1,,,,,,2.487037,48.801883
2022-01-10,Vente,205000,7,,ALL FERRET BRIET,94100,Saint-Maur-des-Fossés,94,1,,,,,,,,,,1,1,Maison,22,2,,,,,,2.473457,48.798332
2022-01-14,Vente,1194500,76,,PROM DES ANGLAIS,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,177,5,S,sols,,,797,2.510462,48.785028
2022-01-13,Vente,645000,47,B,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,37,,5,106,,,,,,,2,2,Appartement,99,5,,,,,,2.484276,48.802743
2022-01-13,Vente,645000,47,B,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,37,,5,106,,,,,,,2,3,Dépendance,,0,,,,,,2.484276,48.802743
2022-01-13,Vente,645000,47,B,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,37,,5,106,,,,,,,2,3,Dépendance,,0,,,,,,2.484276,48.802743
2022-01-13,Vente,645000,47,B,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.484276,48.802743
2022-01-13,Vente,310000,11,,RUE CHEVALIER,94210,Saint-Maur-des-Fossés,94,161,,190,64.95,,,,,,,2,3,Dépendance,,0,,,,,,,
2022-01-13,Vente,310000,11,,RUE CHEVALIER,94210,Saint-Maur-des-Fossés,94,161,,190,64.95,,,,,,,2,2,Appartement,64,3,,,,,,,
2022-01-12,Vente,463000,36,,RUE GARIBALDI,94100,Saint-Maur-des-Fossés,94,10,,4,84.85,5,77.23,9,,,,4,3,Dépendance,,0,,,,,,2.478706,48.798735
2022-01-12,Vente,463000,36,,RUE GARIBALDI,94100,Saint-Maur-des-Fossés,94,10,,4,84.85,5,77.23,9,,,,4,2,Appartement,85,3,,,,,,2.478706,48.798735
2022-01-12,Vente,350000,15,,RUE COLETTE,94210,Saint-Maur-des-Fossés,94,106,57.05,115,,,,,,,,2,3,Dépendance,,0,,,,,,2.518751,48.79983
2022-01-12,Vente,350000,15,,RUE COLETTE,94210,Saint-Maur-des-Fossés,94,106,57.05,115,,,,,,,,2,2,Appartement,57,2,,,,,,2.518751,48.79983
2022-01-12,Vente,350000,74,,AV DU MESNIL,94210,Saint-Maur-des-Fossés,94,236,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.518751,48.79983
2022-01-12,Vente,350000,15,,RUE COLETTE,94210,Saint-Maur-des-Fossés,94,106,57.05,115,,,,,,,,2,3,Dépendance,,0,,,,,,2.518751,48.79983
2022-01-14,Vente,1330000,49,,AV JOFFRE,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,167,5,S,sols,,,475,2.500173,48.803714
2022-01-04,Vente,275000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,1089,,89,58.64,,,,,,,2,2,Appartement,57,3,,,,,,2.500577,48.797221
2022-01-04,Vente,275000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,1089,,89,58.64,,,,,,,2,3,Dépendance,,0,,,,,,2.500577,48.797221
2022-01-04,Vente,275000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,187,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.500577,48.797221
2022-01-10,Vente en l'état futur d'achèvement,326601,26,,PL JOHN FITZGERALD KENNEDY,94100,Saint-Maur-des-Fossés,94,38,,,,,,,,,,1,2,Appartement,43,2,,,,,,2.486191,48.793031
2022-01-10,Vente en l'état futur d'achèvement,326601,26,,PL JOHN FITZGERALD KENNEDY,94100,Saint-Maur-des-Fossés,94,229,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.486191,48.793031
2022-01-17,Vente,337800,17,,AV DE LATTRE DE TASSIGNY,94100,Saint-Maur-des-Fossés,94,37,56.63,7,,,,,,,,2,3,Dépendance,,0,,,,,,2.487466,48.805927
2022-01-17,Vente,337800,17,,AV DE LATTRE DE TASSIGNY,94100,Saint-Maur-des-Fossés,94,37,56.63,7,,,,,,,,2,2,Appartement,58,3,,,,,,2.487466,48.805927
2022-01-17,Vente,337800,17,,AV DE LATTRE DE TASSIGNY,94100,Saint-Maur-des-Fossés,94,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.487466,48.805927
2022-01-14,Vente,200000,14,,AV DES FALONNIERES,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,,,,,S,sols,,,144,2.501547,48.786737
2022-01-14,Vente,370000,50,B,RUE CHEVALIER,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,258,2.501714,48.78669
2022-01-14,Vente,370000,50,B,RUE CHEVALIER,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,258,2.501714,48.78669
2022-01-14,Vente,370000,50,B,RUE CHEVALIER,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,58,4,S,sols,,,258,2.501714,48.78669
2022-01-12,Vente,777000,4,,RUE DENISE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,333,2.517192,48.800055
2022-01-12,Vente,777000,4,,RUE DENISE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,333,2.517192,48.800055
2022-01-06,Vente,312000,126,,AV PIERRE SEMARD,94210,Saint-Maur-des-Fossés,94,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.511097,48.80571
2022-01-06,Vente,312000,126,,AV PIERRE SEMARD,94210,Saint-Maur-des-Fossés,94,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.511097,48.80571
2022-01-06,Vente,312000,126,,AV PIERRE SEMARD,94210,Saint-Maur-des-Fossés,94,1,,12,,,,,,,,2,2,Appartement,69,2,,,,,,2.511097,48.80571
2022-01-07,Vente,166250,13,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,28,28.39,,,,,,,,,1,2,Appartement,28,1,,,,,,2.474397,48.8043
2022-01-07,Vente,166250,13,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.474397,48.8043
2022-01-05,Vente,835000,120,T,BD DE LA MARNE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,119,4,S,sols,,,418,2.514725,48.788318
2022-01-14,Vente en l'état futur d'achèvement,957000,82,,AV DIDIER,94210,Saint-Maur-des-Fossés,94,126,,,,,,,,,,1,,,,,,,,,,2.514396,48.800136
2022-01-14,Vente en l'état futur d'achèvement,957000,82,,AV DIDIER,94210,Saint-Maur-des-Fossés,94,6,,,,,,,,,,1,1,Maison,116,5,,,,,,2.514396,48.800136
2022-01-14,Vente en l'état futur d'achèvement,957000,82,,AV DIDIER,94210,Saint-Maur-des-Fossés,94,195,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.514396,48.800136
2022-01-14,Vente en l'état futur d'achèvement,957000,82,,AV DIDIER,94210,Saint-Maur-des-Fossés,94,196,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.514396,48.800136
2022-01-11,Vente en l'état futur d'achèvement,552000,122,,AV FOCH,94100,Saint-Maur-des-Fossés,94,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.499788,48.798883
2022-01-11,Vente en l'état futur d'achèvement,552000,122,,AV FOCH,94100,Saint-Maur-des-Fossés,94,65,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.499788,48.798883
2022-01-11,Vente en l'état futur d'achèvement,552000,122,,AV FOCH,94100,Saint-Maur-des-Fossés,94,27,,,,,,,,,,1,2,Appartement,63,3,,,,,,2.499788,48.798883
2022-01-11,Vente en l'état futur d'achèvement,552000,122,,AV FOCH,94100,Saint-Maur-des-Fossés,94,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.499788,48.798883
2022-01-13,Vente,260000,10,,RUE DU PETIT BEAUBOURG,94100,Saint-Maur-des-Fossés,94,204,,68,,,,,,,,2,2,Appartement,51,3,,,,,,2.473618,48.813636
2022-01-13,Vente,260000,10,,RUE DU PETIT BEAUBOURG,94100,Saint-Maur-des-Fossés,94,204,,68,,,,,,,,2,3,Dépendance,,0,,,,,,2.473618,48.813636
2022-01-07,Vente,1100200,24,,RUE SAINT FELIX,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,417,2.52179,48.801413
2022-01-19,Vente en l'état futur d'achèvement,460000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,86,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.482586,48.798498
2022-01-19,Vente en l'état futur d'achèvement,460000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,11,,,,,,,,,,1,2,Appartement,65,3,,,,,,2.482586,48.798498
2022-01-17,Vente,352700,16,,AV DU GENERAL LECLERC,94100,Saint-Maur-des-Fossés,94,130,67.36,21,,,,,,,,2,2,Appartement,64,2,,,,,,2.489625,48.804906
2022-01-17,Vente,352700,16,,AV DU GENERAL LECLERC,94100,Saint-Maur-des-Fossés,94,130,67.36,21,,,,,,,,2,3,Dépendance,,0,,,,,,2.489625,48.804906
2022-01-17,Vente,352700,16,,AV DU GENERAL LECLERC,94100,Saint-Maur-des-Fossés,94,161,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.489625,48.804906
2022-01-17,Vente,298350,2,,RUE ADAM,94210,Saint-Maur-des-Fossés,94,42,,51,,52,46.52,,,,,3,3,Dépendance,,0,,,,,,2.509586,48.806685
2022-01-17,Vente,298350,2,,RUE ADAM,94210,Saint-Maur-des-Fossés,94,42,,51,,52,46.52,,,,,3,2,Appartement,44,2,,,,,,2.509586,48.806685
2022-01-17,Vente,357900,1,,RUE VIOLLET LE DUC,94210,Saint-Maur-des-Fossés,94,15,44.17,39,,,,,,,,2,2,Appartement,44,2,,,,,,2.504843,48.797667
2022-01-17,Vente,357900,1,,RUE VIOLLET LE DUC,94210,Saint-Maur-des-Fossés,94,15,44.17,39,,,,,,,,2,3,Dépendance,,0,,,,,,2.504843,48.797667
2022-01-17,Vente,357900,1,,RUE VIOLLET LE DUC,94210,Saint-Maur-des-Fossés,94,54,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.504843,48.797667
2022-01-18,Vente,405000,99,,RUE LEDRU ROLLIN,94100,Saint-Maur-des-Fossés,94,110,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.488795,48.791203
2022-01-18,Vente,405000,99,,RUE LEDRU ROLLIN,94100,Saint-Maur-des-Fossés,94,102,85.98,106,,,,,,,,2,2,Appartement,87,3,,,,,,2.488795,48.791203
