id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2023-1264477,2023-01-04,1,Vente,425000.00,72,,RUE DELERUE,2528,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BX0250,,,4,58.03,5,,,,,,,,2,2,Appartement,58.00,3,,,,,,2.4964610,48.7954010,000BX
2023-1264477,2023-01-04,1,Vente,425000.00,72,,RUE DELERUE,2528,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BX0250,,,4,58.03,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.4964610,48.7954010,000BX
2023-1264477,2023-01-04,1,Vente,425000.00,72,,RUE DELERUE,2528,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BX0250,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4964610,48.7954010,000BX
2023-1264484,2023-01-03,1,Vente,451000.00,1,,RUE DE PROVENCE,7295,94100,94068,Saint-Maur-des-Fossés,94,,,940680000I0008,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4753690,48.8106870,0000I
2023-1264484,2023-01-03,1,Vente,451000.00,1,,RUE DE PROVENCE,7295,94100,94068,Saint-Maur-des-Fossés,94,,,940680000I0008,,,41,70.57,,,,,,,,,1,2,Appartement,72.00,3,,,,,,2.4753690,48.8106870,0000I
2023-1264487,2023-01-05,1,Vente,820000.00,7,,AV DE L ARC,0145,94100,94068,Saint-Maur-des-Fossés,94,,,940680000X0081,,,,,,,,,,,,,0,1,Maison,75.00,3,S,sols,,,356.00,2.4910410,48.8071260,0000X
2023-1264489,2023-01-05,1,Vente,640000.00,8,,VLA LUCIA,5285,94100,94068,Saint-Maur-des-Fossés,94,,,940680000P0059,,,,,,,,,,,,,0,1,Maison,86.00,5,S,sols,,,330.00,2.4800300,48.8052700,0000P
2023-1264489,2023-01-05,1,Vente,640000.00,8,,VLA LUCIA,5285,94100,94068,Saint-Maur-des-Fossés,94,,,940680000P0059,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,330.00,2.4800300,48.8052700,0000P
2023-1264489,2023-01-05,1,Vente,640000.00,8,,VLA LUCIA,5285,94100,94068,Saint-Maur-des-Fossés,94,,,940680000P0059,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,330.00,2.4800300,48.8052700,0000P
2023-1264571,2023-01-10,1,Vente,423000.00,49,,RUE LEDRU ROLLIN,5211,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DH0143,,,163,,180,65.31,,,,,,,2,3,Dépendance,,0,,,,,,2.4846020,48.7944280,000DH
2023-1264571,2023-01-10,1,Vente,423000.00,80,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DH0143,,,107,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4846020,48.7944280,000DH
2023-1264571,2023-01-10,1,Vente,423000.00,49,,RUE LEDRU ROLLIN,5211,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DH0143,,,163,,180,65.31,,,,,,,2,2,Appartement,66.00,3,,,,,,2.4846020,48.7944280,000DH
2023-1264573,2023-01-10,1,Vente,275000.00,7,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,251,63.20,274,,,,,,,,2,3,Dépendance,,0,,,,,,2.4736180,48.8136360,0000F
2023-1264573,2023-01-10,1,Vente,275000.00,7,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,251,63.20,274,,,,,,,,2,2,Appartement,62.00,4,,,,,,2.4736180,48.8136360,0000F
2023-1264574,2023-01-11,1,Vente,204000.00,18,,AV DU GENERAL LECLERC,4172,94100,94068,Saint-Maur-des-Fossés,94,,,940680000Z0001,,,122,36.12,47,,,,,,,,2,3,Dépendance,,0,,,,,,2.4896250,48.8049060,0000Z
2023-1264574,2023-01-11,1,Vente,204000.00,18,,AV DU GENERAL LECLERC,4172,94100,94068,Saint-Maur-des-Fossés,94,,,940680000Z0001,,,122,36.12,47,,,,,,,,2,2,Appartement,38.00,1,,,,,,2.4896250,48.8049060,0000Z
2023-1264575,2023-01-10,1,Vente,350000.00,56,,AV DU MIDI,6249,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0114,,,400,72.40,415,,,,,,,,2,3,Dépendance,,0,,,,,,2.5018490,48.7987170,000BU
2023-1264575,2023-01-10,1,Vente,350000.00,56,,AV DU MIDI,6249,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0114,,,400,72.40,415,,,,,,,,2,2,Appartement,76.00,3,,,,,,2.5018490,48.7987170,000BU
2023-1264589,2023-01-12,1,Vente,324000.00,4,,AV DU BUISSON,0785,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BT0034,,,14,52.30,8,,,,,,,,2,2,Appartement,55.00,2,,,,,,2.5022780,48.8025360,000BT
2023-1264589,2023-01-12,1,Vente,324000.00,4,,AV DU BUISSON,0785,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BT0034,,,14,52.30,8,,,,,,,,2,3,Dépendance,,0,,,,,,2.5022780,48.8025360,000BT
2023-1264594,2023-01-11,1,Vente,25000.00,2,,AV DU MIDI,6249,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CD0065,,,131,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4944180,48.8021490,000CD
2023-1264612,2023-01-06,1,Vente,445000.00,14,,RUE ARISTIDE BRIAND,0150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CN0139,,,2,,47,,80,,,,,,3,2,Appartement,94.00,5,,,,,,2.4835160,48.7968410,000CN
2023-1264612,2023-01-06,1,Vente,445000.00,14,,RUE ARISTIDE BRIAND,0150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CN0139,,,2,,47,,80,,,,,,3,3,Dépendance,,0,,,,,,2.4835160,48.7968410,000CN
2023-1264612,2023-01-06,1,Vente,445000.00,14,,RUE ARISTIDE BRIAND,0150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CN0139,,,2,,47,,80,,,,,,3,3,Dépendance,,0,,,,,,2.4835160,48.7968410,000CN
2023-1264612,2023-01-06,1,Vente,445000.00,14,,RUE ARISTIDE BRIAND,0150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CN0139,,,112,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4835160,48.7968410,000CN
2023-1264657,2023-01-13,1,Vente,251873.77,40,,AV GUYNEMER,4290,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DQ0148,,,119,50.19,164,,,,,,,,2,3,Dépendance,,0,,,,,,2.4836410,48.7868850,000DQ
2023-1264657,2023-01-13,1,Vente,251873.77,40,,AV GUYNEMER,4290,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DQ0148,,,119,50.19,164,,,,,,,,2,2,Appartement,54.00,2,,,,,,2.4836410,48.7868850,000DQ
2023-1264657,2023-01-13,1,Vente,251873.77,40,,AV GUYNEMER,4290,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DQ0148,,,193,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4836410,48.7868850,000DQ
2023-1264658,2023-01-16,1,Vente,191000.00,17,,RUE DUSSAULT,2595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CO0047,,,230,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4779970,48.8003430,000CO
